OBJECTID,Site Name,Technology Type,Installed Capacity (MWelec),Development Status
1143,Southcombe Farm,Solar Photovoltaics,1.2,Operational
1145,West Bradley Farm,Solar Photovoltaics,1.5,Operational
1146,Whiddon Farm,Solar Photovoltaics,1,Operational
1147,Lovedean Farm,Solar Photovoltaics,4.5,Operational
1148,Higher Knapp Farm,Solar Photovoltaics,1.5,Operational
1150,Park Farm,Solar Photovoltaics,4,Operational
1151,Dunkeswell Airfield,Solar Photovoltaics,2,Operational
1158,Langenhoe Solar Farm,Solar Photovoltaics,21.3,Operational
1159,Kentishes Solar Farm ,Solar Photovoltaics,5,Operational
1160,Marley Thatch Solar Farm,Solar Photovoltaics,6.3,Operational
1161,Newlands Farm (East Devon),Solar Photovoltaics,5,Operational
1165,Goldthorpe,Solar Photovoltaics,1.5,Operational
1166,Barley Wood Farm Lane,Solar Photovoltaics,5.4,Operational
1167,Battens Farm Solar Park,Solar Photovoltaics,11,Operational
1168,Combermere Abbey,Solar Photovoltaics,14,Operational
1169,Foxburrow Farm,Solar Photovoltaics,8,Operational
1170,Great Houndbeare Farm,Solar Photovoltaics,10,Operational
1171,Condover (Green Farm),Solar Photovoltaics,10.2,Operational
1174,Hurst Farm,Solar Photovoltaics,5,Operational
1175,Ikea Distribution Centre ,Solar Photovoltaics,1.7,Operational
1176,Jaguar Land Rover ,Solar Photovoltaics,5.8,Operational
1177,Leverton Ings,Solar Photovoltaics,12,Operational
1178,Little Morton Solar Farm,Solar Photovoltaics,14.3,Operational
1179,Lodge Farm - Orston,Solar Photovoltaics,12.4,Operational
1180,Lowther Farms,Solar Photovoltaics,1.8,Operational
1181,Mackies Dairy PV,Solar Photovoltaics,1.8,Operational
1182,Mingay Farm - extension,Solar Photovoltaics,19.3,Operational
1183,Redcourt Farm,Solar Photovoltaics,3.3,Operational
1185,Sowerby Lodge Farm,Solar Photovoltaics,5,Operational
1186,Stone Hill,Solar Photovoltaics,2.6,Operational
